                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5238,                 2.5529,                 1.5061,                0.21203,                0.28707,                0.15779,                 0.0715,                 1.9317,                  3.999,                 2.1803,             0.00066296,             0.00066296,             0.00066296
                      2,                 1.7147,                 2.2107,                 1.6284,                0.27312,                0.40694,                 0.2707,                0.10858,                 2.0338,                 2.8117,                 2.2466,              0.0013033,              0.0013033,              0.0013033
                      3,                 1.7205,                 2.0925,                 1.6475,                0.36483,                0.36909,                0.30128,                0.14356,                 1.8449,                 2.9539,                 2.0627,              0.0019172,              0.0019172,              0.0019172
                      4,                 1.6871,                 1.9944,                 1.6132,                 0.4601,                0.42902,                0.37903,                0.17258,                 1.8818,                 3.0219,                 2.0109,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6532,                  1.925,                 1.5797,                0.41442,                0.39117,                0.34288,                0.16092,                 1.7605,                 2.2845,                 1.9578,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.6197,                 1.8842,                 1.5736,                0.45352,                0.40379,                0.39211,                0.18589,                 1.7964,                 2.1027,                 1.9702,               0.001802,               0.001802,               0.001802
                      7,                 1.5798,                 1.8277,                 1.5456,                0.48519,                0.46057,                 0.4082,                0.19173,                 1.7421,                 1.9675,                 1.8838,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.5604,                 1.8079,                 1.5376,                0.51027,                0.48265,                0.50008,                0.26261,                 1.6335,                 1.7874,                 1.7918,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.5336,                 1.7648,                 1.5066,                 0.4297,                 0.4511,                0.40332,                0.20288,                 1.6744,                 1.9888,                 1.8681,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.5278,                 1.7665,                 1.5073,                0.47691,                0.54259,                0.47884,                0.25765,                 1.6277,                 1.8498,                 1.8265,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.4988,                 1.7355,                 1.4868,                0.56016,                0.49842,                0.52123,                 0.2793,                 1.5542,                 1.7116,                 1.7359,               0.001604,               0.001604,               0.001604
                     12,                 1.4866,                 1.6938,                 1.4818,                0.61524,                0.49842,                0.52879,                0.28099,                 1.5754,                 1.7191,                 1.7654,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.4566,                 1.6586,                 1.4611,                0.58341,                0.47634,                0.51511,                0.27184,                 1.5624,                 1.7278,                 1.7944,              0.0015248,              0.0015248,              0.0015248
                     14,                  1.444,                 1.6376,                 1.4575,                0.55382,                0.51686,                0.50536,                0.26256,                 1.6037,                 1.7691,                 1.7825,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.4325,                 1.6198,                 1.4477,                0.51998,                0.53651,                0.53362,                0.30633,                  1.526,                 1.6607,                 1.7272,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.4431,                 1.6393,                 1.4582,                0.67136,                0.43218,                0.51933,                0.28208,                 1.5468,                 1.7291,                 1.7927,               0.001406,               0.001406,               0.001406
                     17,                 1.4158,                 1.6033,                 1.4346,                0.54719,                0.53312,                0.49921,                0.27265,                 1.5746,                 1.7645,                  1.796,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.3989,                  1.567,                 1.4276,                0.61122,                0.47319,                0.51497,                0.27924,                 1.6094,                 1.7091,                   1.84,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.3855,                 1.5774,                 1.4243,                 0.5679,                0.53485,                0.53455,                0.29377,                 1.5543,                 1.6473,                 1.7541,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.3798,                 1.5345,                 1.4095,                0.63745,                0.53247,                0.58271,                  0.346,                  1.464,                 1.5392,                 1.6841,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.3732,                 1.5197,                 1.4054,                0.59717,                 0.5489,                0.53199,                0.27779,                 1.5864,                 1.6647,                 1.7607,               0.001208,               0.001208,               0.001208
                     22,                 1.3623,                 1.5186,                 1.4091,                 0.5925,                0.52681,                0.54601,                0.30537,                 1.4878,                 1.6295,                 1.7356,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.3498,                 1.4976,                 1.3925,                0.59716,                0.50037,                0.53529,                0.29318,                 1.5426,                 1.6211,                 1.7421,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.3339,                 1.4774,                 1.3884,                0.60054,                0.57413,                0.56963,                 0.3163,                 1.4789,                 1.5526,                 1.7127,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.3428,                 1.4677,                  1.381,                0.68349,                0.51735,                0.56709,                0.33118,                 1.4567,                 1.5582,                 1.6735,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.3246,                 1.4519,                 1.3816,                0.66094,                0.49842,                0.55802,                0.31877,                 1.5129,                 1.5723,                 1.7373,                0.00101,                0.00101,                0.00101
                     27,                 1.3038,                 1.4186,                 1.3602,                0.66053,                0.53312,                0.59645,                0.32995,                 1.4877,                 1.5313,                 1.7151,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.3137,                 1.4239,                 1.3705,                0.63558,                0.50067,                0.55765,                0.31107,                 1.4738,                 1.5495,                 1.7024,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.2934,                 1.4072,                 1.3636,                0.62189,                 0.5489,                0.59439,                0.35487,                 1.3941,                 1.5074,                 1.6389,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.2819,                 1.3826,                 1.3461,                0.57648,                0.58044,                0.59216,                0.33586,                 1.4512,                 1.6141,                 1.6824,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.2776,                 1.3944,                 1.3509,                0.61781,                0.55836,                 0.5616,                 0.3279,                 1.4821,                 1.5721,                 1.7181,               0.000812,               0.000812,               0.000812
                     32,                 1.2664,                 1.3618,                 1.3404,                0.65165,                 0.5205,                0.57691,                0.32989,                 1.4697,                  1.499,                  1.705,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.2634,                 1.3597,                 1.3417,                0.59329,                0.57098,                0.58174,                  0.336,                 1.4378,                 1.5022,                 1.6687,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.2585,                 1.3286,                 1.3366,                 0.6014,                0.57591,                0.59728,                0.33389,                 1.4447,                 1.5067,                 1.6864,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.2329,                 1.3182,                 1.3181,                0.59369,                0.55836,                0.57015,                0.32379,                 1.4353,                 1.5669,                  1.685,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.2265,                 1.3068,                  1.309,                0.61802,                0.57729,                0.57364,                0.32631,                 1.4376,                 1.5211,                 1.7032,               0.000614,               0.000614,               0.000614
                     37,                 1.2118,                 1.2909,                 1.3066,                0.62028,                0.53312,                0.55717,                0.31187,                 1.4661,                 1.5112,                 1.6957,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.2163,                 1.2976,                 1.3109,                0.65074,                0.59621,                0.61666,                0.35551,                 1.4227,                 1.4534,                 1.6631,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1962,                 1.2654,                  1.294,                0.69635,                0.54258,                0.59983,                0.35161,                 1.4268,                 1.4764,                 1.6607,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1988,                 1.2555,                  1.293,                0.72022,                0.51104,                0.59726,                0.35298,                 1.4196,                 1.4886,                 1.6554,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1695,                  1.188,                 1.3086,                0.64567,                0.58634,                0.61731,                0.36478,                 1.3998,                 1.4701,                 1.6368,               0.000416,               0.000416,               0.000416
                     42,                 1.1617,                 1.1708,                 1.3076,                 0.6512,                0.56151,                0.59572,                 0.3433,                 1.4661,                 1.4999,                 1.7081,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.1497,                 1.1499,                 1.2946,                 0.6898,                0.56782,                0.60652,                0.34516,                 1.4706,                 1.4989,                  1.698,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.1295,                 1.1308,                 1.2842,                0.68785,                 0.5561,                0.60263,                0.35094,                  1.461,                 1.4213,                 1.7068,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.1232,                  1.112,                 1.2892,                0.69881,                0.57729,                0.60951,                0.34918,                 1.4716,                 1.4614,                 1.7239,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1059,                 1.0841,                 1.2745,                0.64338,                0.57729,                0.59274,                0.34386,                 1.4495,                 1.4573,                 1.7091,               0.000218,               0.000218,               0.000218
                     47,                 1.0955,                 1.0674,                 1.2666,                0.64661,                0.61183,                0.62134,                 0.3589,                 1.4582,                 1.4127,                 1.7192,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0864,                 1.0594,                 1.2581,                0.65346,                0.55836,                0.59512,                0.36125,                 1.4263,                 1.4386,                 1.6849,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0691,                 1.0234,                 1.2514,                 0.6753,                0.55836,                0.59517,                 0.3507,                 1.4389,                 1.4533,                 1.6914,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0709,                 1.0197,                 1.2492,                0.69288,                0.57646,                0.60028,                0.35984,                 1.4216,                 1.4545,                 1.6739,               5.96e-05,               5.96e-05,               5.96e-05
